1,1,all,1,Requirements�engineering�is concerned with identifying the�_____�of a software system�and the�_____ in which it will be used.,"purpose,contexts","users,contexts","development teams,contexts","development teams,contexts"
1,1,all,1,The steps of requirements development :,"elicitation, analysis, specification, and validation","elicitation, analysis and validation","elicitation, specification, and validation","elicitation, analysis, and specification"
1,1,all,1,"CRUDL matrix includes actions, ____, performed on entities by use cases/events/processes.","Create, Read, Update, Delete, or List"," Create, Retrieve, Update, Delete, or List","Create, Read, Update, Delete","Read, Write, Access"
1,1,all,1,The objective of requirement analysis are to: ,all the other three,decompose high-level requirements into details;,create alternative views of requirements,identify the priorities; 
1,1,all,1,The  frequently used diagram for requirement analysis are:,all the other three,context diagram,use case diagram,structured analysis models
1,1,all,2,Requirements�engineering�is concerned with identifying the�purpose�of a software system�and the�_____ in which it will be used.,contexts,,,
1,1,all,2,The steps of requirements development :,"elicitation, analysis, specification, and validation",,,
1,1,all,2,"CRUDL matrix includes actions, ____, performed on entities by use cases/events/processes.","Create, Read, Update, Delete, or List",,,
1,2,all,1,CRUDL is a ______,structured analysis model,context diagram,use case diagram,data flow diagram
1,2,all,1,"Entity-relationship diagram is a representation of the ______, which is useful for requirement engineering and database design.",logical relationships of data,a finite-state machine,use case,database tables
1,2,all,1,The audiences of software requirements specification are:,all the other three,end users,"software, hardware, and systems engineers",product management
1,2,all,1,"Dialog map is a concise, complete and unambiguous representation of ______ for systems or objects",a finite-state machine,context,use case,logical relationships of data
1,2,all,1,The objectives of software requirement specification are to: achieve agreement regarding the requirements among,all the other three,developers,customers,other stakeholders
1,2,all,2,CRUDL is a ______,structured analysis model,,,
1,2,all,2,"Entity-relationship diagram is a representation of the ______, which is useful for requirement engineering and database design.",logical relationships of data,,,
1,2,all,2,"Dialog map is a concise, complete and unambiguous representation of ______ for systems or objects",a finite-state machine,,,
2,1,all,1,"4 software design principles are: modularity, single responsibility principle, principle of least knowledge and open close principle.",TRUE,FALSE,,
2,1,all,1,Single responsibility principle requires that,each component or module should be responsible for only a specific feature or functionality,a component should not know about internal details of other components,"software entities like classes, modules and functions should be open for extension but closed for modifications","the design should be composed of replaceable, self-contained assemblies of elementary parts, thereby aiding both the initial development and the later maintenance"
2,1,all,1,Principle of least knowledge requires that,a component should not know about internal details of other components,each component or module should be responsible for only a specific feature or functionality,"software entities like classes, modules and functions should be open for extension but closed for modifications","the design should be composed of replaceable, self-contained assemblies of elementary parts, thereby aiding both the initial development and the later maintenance"
2,1,all,1,Open close principle requires that ,"software entities like classes, modules and functions should be open for extension but closed for modifications",each component or module should be responsible for only a specific feature or functionality,a component should not know about internal details of other components,"the design should be composed of replaceable, self-contained assemblies of elementary parts, thereby aiding both the initial development and the later maintenance"
2,1,all,1,Modularity requires that,"the design should be composed of replaceable, self-contained assemblies of elementary parts, thereby aiding both the initial development and the later maintenance",each component or module should be responsible for only a specific feature or functionality,a component should not know about internal details of other components,"software entities like classes, modules and functions should be open for extension but closed for modifications"
2,2,all,1,Software performance is,the responsiveness of a system.,the easiness of a software system to be transported to multiple hardware/software platforms.,the components of one software system can be easily reused in the development of other software systems.,in nature iterative and model-based and has multiple solutions.
2,2,all,1,Portability is ,the easiness of a software system to be transported to multiple hardware/software platforms.,the responsiveness of a system.,the components of one software system can be easily reused in the development of other software systems.,in nature iterative and model-based and has multiple solutions.
2,2,all,1,Reusability requires that ,the components of one software system can be easily reused in the development of other software systems.,the responsiveness of a system.,the easiness of a software system to be transported to multiple hardware/software platforms.,in nature iterative and model-based and has multiple solutions.
2,2,all,1,Software design process is ,in nature iterative and model-based and has multiple solutions.,the responsiveness of a system.,the easiness of a software system to be transported to multiple hardware/software platforms.,the components of one software system can be easily reused in the development of other software systems.
2,1,all,2,Single responsibility principle requires that each component or module should be responsible for only _________,a specific feature or functionality,,,
2,1,all,2,Principle of least knowledge requires that a component should not know about _______,internal details of other components,,,
2,1,all,2,"Open close principle requires that software entities like classes, modules and functions should be ______",open for extension but closed for modifications,,,
2,1,all,2,"Modularity requires that the design should be composed of _______ , thereby aiding both the initial development and the later maintenance","replaceable, self-contained assemblies of elementary parts",,,
2,2,all,2,Software performance is _______,the responsiveness of a system.,,,
2,2,all,2,Portability is the easiness of a software system to be _______,transported to multiple hardware/software platforms.,,,
2,2,all,2,Reusability requires that the components of one software system can be easily reused in _____,the development of other software systems.,,,
2,2,all,2,Software design process is  in nature ______,iterative and model-based and has multiple solutions.,,,
3,1,all,1,Software architecture is considered as a description of the high-level structure of a software system in terms of architectural elements and the interactions between them.,TRUE,FALSE,,
3,1,all,1,"An architectural element, also known as _____, is a unit of software that performs some function at runtime.",component,object,class,entity
3,1,all,1,"As with building blocks, ______ must be decomposable to a point when they are no longer components.",software components,software classes,software interfaces ,software designs 
3,1,all,1,"The interactions between components, also known as connectors, are the ______ among components.",all the other three, communication, coordination, cooperation
3,1,all,1,"Some commonly used architectural styles include client & server, implicit invocation, batch sequential, pipe-and-filter, main program and sub routine, and layered system.",TRUE,fasle,,
3,2,all,1,There are two fundamental categories of software: ,product and system,product and service,infrastucture and service,infrastucture and system
3,2,all,1,Product is ,a set of dependent components joined immutably,"a bag of self-sufficient, substitutable components joined dynamically",,
3,2,all,1,System is ,"a bag of self-sufficient, substitutable components joined dynamically",a set of dependent components joined immutably,,
